Suburb,Price,Date,CouncilArea
Abbotsford,1480000.0,3/12/2016,Yarra
Abbotsford,1035000.0,4/02/2016,Yarra
Abbotsford,1465000.0,4/03/2017,Yarra
Abbotsford,850000.0,4/03/2017,Yarra
Abbotsford,1600000.0,4/06/2016,Yarra
Abbotsford,941000.0,7/05/2016,Yarra
Abbotsford,1876000.0,7/05/2016,Yarra
Abbotsford,1636000.0,8/10/2016,Yarra
Abbotsford,300000.0,8/10/2016,Yarra
Abbotsford,1097000.0,8/10/2016,Yarra
Abbotsford,700000.0,12/11/2016,Yarra
Abbotsford,1350000.0,12/11/2016,Yarra
Abbotsford,750000.0,12/11/2016,Yarra
Abbotsford,1172500.0,13/08/2016,Yarra
Abbotsford,441000.0,14/05/2016,Yarra
Abbotsford,1310000.0,15/10/2016,Yarra
Abbotsford,1200000.0,16/07/2016,Yarra
Abbotsford,1176500.0,16/07/2016,Yarra
Abbotsford,955000.0,17/09/2016,Yarra
Abbotsford,890000.0,17/09/2016,Yarra
Abbotsford,1330000.0,18/03/2017,Yarra
Abbotsford,900000.0,18/03/2017,Yarra
Abbotsford,1090000.0,18/03/2017,Yarra
Abbotsford,500000.0,18/06/2016,Yarra
Abbotsford,1100000.0,18/06/2016,Yarra
Abbotsford,1315000.0,19/11/2016,Yarra
Abbotsford,426000.0,22/08/2016,Yarra
Abbotsford,1447500.0,22/08/2016,Yarra
Abbotsford,457000.0,22/08/2016,Yarra
Abbotsford,1135000.0,22/08/2016,Yarra
Abbotsford,1542000.0,24/09/2016,Yarra
Abbotsford,1290000.0,25/02/2017,Yarra
Abbotsford,1290000.0,25/02/2017,Yarra
Abbotsford,470000.0,26/07/2016,Yarra
Abbotsford,1180000.0,27/11/2016,Yarra
Abbotsford,1195000.0,27/11/2016,Yarra
Abbotsford,1012500.0,28/05/2016,Yarra
Abbotsford,1030000.0,30/07/2016,Yarra
Airport West,840000.0,3/09/2016,Moonee Valley
Airport West,730000.0,3/12/2016,Moonee Valley
Airport West,770000.0,4/03/2017,Moonee Valley
Airport West,603000.0,4/03/2017,Moonee Valley
Airport West,700000.0,4/03/2017,Moonee Valley
Airport West,600000.0,4/03/2017,Moonee Valley
Airport West,500000.0,4/03/2017,Moonee Valley
Airport West,720000.0,6/08/2016,Moonee Valley
Airport West,785000.0,6/08/2016,Moonee Valley
Airport West,725000.0,7/05/2016,Moonee Valley
Airport West,450000.0,7/05/2016,Moonee Valley
Airport West,515000.0,7/11/2016,Moonee Valley
Airport West,530000.0,10/09/2016,Moonee Valley
Airport West,895000.0,10/09/2016,Moonee Valley
Airport West,805000.0,10/12/2016,Moonee Valley
Airport West,752000.0,11/02/2017,Moonee Valley
Airport West,440000.0,13/08/2016,Moonee Valley
Airport West,755000.0,14/05/2016,Moonee Valley
Airport West,700000.0,15/10/2016,Moonee Valley
Airport West,830000.0,16/04/2016,Moonee Valley
Airport West,462500.0,16/07/2016,Moonee Valley
Airport West,670000.0,16/07/2016,Moonee Valley
Airport West,675000.0,16/07/2016,Moonee Valley
Airport West,1042000.0,16/07/2016,Moonee Valley
Airport West,910000.0,17/09/2016,Moonee Valley
Airport West,773000.0,17/09/2016,Moonee Valley
Airport West,810000.0,18/03/2017,Moonee Valley
Airport West,715000.0,18/03/2017,Moonee Valley
Airport West,790000.0,18/03/2017,Moonee Valley
Airport West,540000.0,18/06/2016,Moonee Valley
Airport West,825000.0,19/11/2016,Moonee Valley
Airport West,685000.0,22/05/2016,Moonee Valley
Airport West,805000.0,22/08/2016,Moonee Valley
Airport West,510000.0,22/08/2016,Moonee Valley
Airport West,612000.0,22/08/2016,Moonee Valley
Airport West,662000.0,23/04/2016,Moonee Valley
Airport West,978000.0,24/09/2016,Moonee Valley
Airport West,720000.0,25/02/2017,Moonee Valley
Airport West,765000.0,27/11/2016,Moonee Valley
Airport West,900000.0,27/11/2016,Moonee Valley
Albert Park,1275000.0,3/09/2016,Port Phillip
Albert Park,1455000.0,3/09/2016,Port Phillip
Albert Park,2850000.0,4/03/2017,Port Phillip
Albert Park,1850000.0,4/03/2017,Port Phillip
Albert Park,1436000.0,4/03/2017,Port Phillip
Albert Park,1110000.0,6/08/2016,Port Phillip
Albert Park,1550000.0,7/05/2016,Port Phillip
Albert Park,2300000.0,7/05/2016,Port Phillip
Albert Park,1550000.0,7/11/2016,Port Phillip
Albert Park,1800000.0,7/11/2016,Port Phillip
Albert Park,2120000.0,10/09/2016,Port Phillip
Albert Park,1800000.0,10/09/2016,Port Phillip
Albert Park,1800000.0,10/09/2016,Port Phillip
Albert Park,1810000.0,10/12/2016,Port Phillip
Albert Park,2615000.0,10/12/2016,Port Phillip
Albert Park,2100000.0,10/12/2016,Port Phillip
Albert Park,1300000.0,10/12/2016,Port Phillip
Albert Park,1370000.0,12/06/2016,Port Phillip
Albert Park,1000000.0,12/11/2016,Port Phillip
Albert Park,2575000.0,15/10/2016,Port Phillip
Albert Park,1322500.0,15/10/2016,Port Phillip
Albert Park,1562500.0,15/10/2016,Port Phillip
Albert Park,2000000.0,16/04/2016,Port Phillip
Albert Park,1900000.0,18/03/2017,Port Phillip
Albert Park,3010000.0,18/03/2017,Port Phillip
Albert Park,2800000.0,18/06/2016,Port Phillip
Albert Park,647000.0,22/05/2016,Port Phillip
Albert Park,2100000.0,23/04/2016,Port Phillip
Albert Park,2000000.0,24/09/2016,Port Phillip
Albert Park,442500.0,25/02/2017,Port Phillip
Albert Park,4735000.0,25/02/2017,Port Phillip
Albert Park,1340000.0,25/02/2017,Port Phillip
Albert Park,1801000.0,25/02/2017,Port Phillip
Albert Park,1532000.0,26/07/2016,Port Phillip
Albert Park,3755000.0,26/07/2016,Port Phillip
Albert Park,2140000.0,27/06/2016,Port Phillip
Albert Park,1750000.0,27/11/2016,Port Phillip
Albert Park,980000.0,28/05/2016,Port Phillip
Albert Park,2030000.0,28/08/2016,Port Phillip
Albert Park,1740000.0,28/08/2016,Port Phillip
Albert Park,2800000.0,30/07/2016,Port Phillip
Albert Park,985000.0,30/07/2016,Port Phillip
Alphington,2000000.0,3/09/2016,Darebin
Alphington,1110000.0,3/09/2016,Yarra
Alphington,1492000.0,4/03/2017,Darebin
Alphington,1717500.0,8/10/2016,Darebin
Alphington,2840000.0,12/06/2016,Darebin
Alphington,525500.0,12/11/2016,Darebin
Alphington,805000.0,12/11/2016,Darebin
Alphington,465000.0,12/11/2016,Darebin
Alphington,2000000.0,15/10/2016,Darebin
Alphington,1540000.0,16/04/2016,Darebin
Alphington,820000.0,18/03/2017,Darebin
Alphington,1830000.0,19/11/2016,Darebin
Alphington,2100000.0,19/11/2016,Darebin
Alphington,865000.0,22/05/2016,Darebin
Alphington,390000.0,22/05/2016,Darebin
Alphington,650000.0,24/09/2016,Yarra
Alphington,512000.0,25/02/2017,Darebin
Alphington,1165000.0,27/06/2016,Yarra
Alphington,1900000.0,27/11/2016,Yarra
Alphington,1485000.0,28/08/2016,Darebin
Alphington,1950000.0,30/07/2016,Darebin
Altona,520000.0,3/09/2016,Hobsons Bay
Altona,1525000.0,3/12/2016,Hobsons Bay
Altona,720000.0,4/02/2016,Hobsons Bay
Altona,1120000.0,4/03/2017,Hobsons Bay
Altona,780000.0,4/06/2016,Hobsons Bay
Altona,1780000.0,4/06/2016,Hobsons Bay
Altona,630000.0,6/08/2016,Hobsons Bay
Altona,406000.0,6/08/2016,Hobsons Bay
Altona,660000.0,7/05/2016,Hobsons Bay
Altona,683500.0,7/11/2016,Hobsons Bay
Altona,580000.0,8/10/2016,Hobsons Bay
Altona,1335000.0,8/10/2016,Hobsons Bay
Altona,800000.0,8/10/2016,Hobsons Bay
Altona,510000.0,10/09/2016,Hobsons Bay
Altona,1070000.0,10/09/2016,Hobsons Bay
Altona,425000.0,10/09/2016,Hobsons Bay
Altona,605000.0,10/12/2016,Hobsons Bay
Altona,705000.0,11/02/2017,Hobsons Bay
Altona,391000.0,11/02/2017,Hobsons Bay
Altona,440000.0,11/02/2017,Hobsons Bay
Altona,845000.0,11/02/2017,Hobsons Bay
Altona,743000.0,12/11/2016,Hobsons Bay
Altona,730000.0,13/08/2016,Hobsons Bay
Altona,635000.0,14/05/2016,Hobsons Bay
Altona,620000.0,14/05/2016,Hobsons Bay
Altona,447000.0,15/10/2016,Hobsons Bay
Altona,730000.0,16/04/2016,Hobsons Bay
Altona,678000.0,16/04/2016,Hobsons Bay
Altona,580000.0,16/07/2016,Hobsons Bay
Altona,712000.0,17/09/2016,Hobsons Bay
Altona,840000.0,18/03/2017,Hobsons Bay
Altona,980000.0,19/11/2016,Hobsons Bay
Altona,605100.0,22/05/2016,Hobsons Bay
Altona,880000.0,22/08/2016,Hobsons Bay
Altona,577000.0,23/04/2016,Hobsons Bay
Altona,1030000.0,25/02/2017,Hobsons Bay
Altona,605000.0,25/02/2017,Hobsons Bay
Altona,753000.0,27/06/2016,Hobsons Bay
Altona,857000.0,27/11/2016,Hobsons Bay
Altona,1500000.0,28/05/2016,Hobsons Bay
Altona,730000.0,28/05/2016,Hobsons Bay
Altona,900000.0,28/05/2016,Hobsons Bay
Altona,740000.0,28/08/2016,Hobsons Bay
Altona,931000.0,28/08/2016,Hobsons Bay
Altona,535600.0,30/07/2016,Hobsons Bay
Altona North,1085000.0,3/09/2016,Hobsons Bay
Altona North,781000.0,3/09/2016,Hobsons Bay
Altona North,750000.0,4/03/2017,Hobsons Bay
Altona North,421000.0,4/03/2017,Hobsons Bay
Altona North,1405000.0,4/03/2017,Hobsons Bay
Altona North,683000.0,4/06/2016,Hobsons Bay
Altona North,623000.0,4/06/2016,Hobsons Bay
Altona North,720000.0,6/08/2016,Hobsons Bay
Altona North,588000.0,7/05/2016,Hobsons Bay
Altona North,710000.0,7/11/2016,Hobsons Bay
Altona North,875000.0,8/10/2016,Hobsons Bay
Altona North,700000.0,10/12/2016,Hobsons Bay
Altona North,640000.0,11/03/2017,Hobsons Bay
Altona North,650000.0,12/06/2016,Hobsons Bay
Altona North,675000.0,14/05/2016,Hobsons Bay
Altona North,708000.0,15/10/2016,Hobsons Bay
Altona North,965000.0,15/10/2016,Hobsons Bay
Altona North,680000.0,19/11/2016,Hobsons Bay
Altona North,770000.0,19/11/2016,Hobsons Bay
Altona North,923000.0,22/05/2016,Hobsons Bay
Altona North,693000.0,22/05/2016,Hobsons Bay
Altona North,620000.0,22/08/2016,Hobsons Bay
Altona North,728500.0,22/08/2016,Hobsons Bay
Altona North,931000.0,22/08/2016,Hobsons Bay
Altona North,988000.0,22/08/2016,Hobsons Bay
Altona North,590000.0,23/04/2016,Hobsons Bay
Altona North,610000.0,24/09/2016,Hobsons Bay
Altona North,815000.0,25/02/2017,Hobsons Bay
Altona North,970000.0,25/02/2017,Hobsons Bay
Altona North,760000.0,27/06/2016,Hobsons Bay
Altona North,847500.0,27/06/2016,Hobsons Bay
Altona North,1200000.0,27/11/2016,Hobsons Bay
Altona North,700000.0,27/11/2016,Hobsons Bay
Altona North,625000.0,28/05/2016,Hobsons Bay
Altona North,292000.0,28/08/2016,Hobsons Bay
Armadale,599000.0,3/09/2016,Stonnington
Armadale,550000.0,3/12/2016,Stonnington
Armadale,995000.0,3/12/2016,Stonnington
Armadale,1205000.0,3/12/2016,Stonnington
Armadale,1939000.0,3/12/2016,Stonnington
Armadale,421500.0,3/12/2016,Stonnington
Armadale,1870000.0,4/03/2017,Stonnington
Armadale,678000.0,4/03/2017,Stonnington
Armadale,1918000.0,4/03/2017,Stonnington
Armadale,660000.0,4/03/2017,Stonnington
Armadale,2050000.0,4/03/2017,Stonnington
Armadale,700000.0,4/06/2016,Stonnington
Armadale,3625000.0,4/06/2016,Stonnington
Armadale,3000000.0,4/06/2016,Stonnington
Armadale,1525000.0,7/05/2016,Stonnington
Armadale,735000.0,7/05/2016,Stonnington
Armadale,825000.0,7/05/2016,Stonnington
Armadale,1586000.0,7/05/2016,Stonnington
Armadale,645000.0,8/10/2016,Stonnington
Armadale,1435000.0,8/10/2016,Stonnington
Armadale,280000.0,10/09/2016,Stonnington
Armadale,400000.0,10/12/2016,Stonnington
Armadale,1780000.0,10/12/2016,Stonnington
Armadale,592500.0,10/12/2016,Stonnington
Armadale,1210000.0,12/11/2016,Stonnington
Armadale,2801000.0,12/11/2016,Stonnington
Armadale,390000.0,14/05/2016,Stonnington
Armadale,1800000.0,15/10/2016,Stonnington
Armadale,2200000.0,15/10/2016,Stonnington
Armadale,324000.0,16/04/2016,Stonnington
Armadale,5525000.0,17/09/2016,Stonnington
Armadale,1125000.0,17/09/2016,Stonnington
Armadale,2250000.0,17/09/2016,Stonnington
Armadale,2360000.0,18/03/2017,Stonnington
Armadale,1900000.0,18/03/2017,Stonnington
Armadale,440000.0,18/03/2017,Stonnington
Armadale,490000.0,18/06/2016,Stonnington
Armadale,2365000.0,18/06/2016,Stonnington
Armadale,1300000.0,18/06/2016,Stonnington
Armadale,732000.0,18/06/2016,Stonnington
Armadale,704000.0,19/11/2016,Stonnington
Armadale,620000.0,19/11/2016,Stonnington
Armadale,1900000.0,22/05/2016,Stonnington
Armadale,315000.0,22/08/2016,Stonnington
Armadale,450000.0,24/09/2016,Stonnington
Armadale,710000.0,25/02/2017,Stonnington
Armadale,872000.0,25/02/2017,Stonnington
Armadale,598000.0,25/02/2017,Stonnington
Armadale,1285000.0,25/02/2017,Stonnington
Armadale,3660000.0,25/02/2017,Stonnington
Armadale,520000.0,27/06/2016,Stonnington
Armadale,3625000.0,27/11/2016,Stonnington
